"Title","Num_of_Authors"
"XXIV World Allergy Congress 2015: Seoul, Korea. 14-17 October 2015","3572"
"ESICM LIVES 2016: part three: Milan, Italy. 1–5 October 2016","2621"
"ESICM LIVES 2016: part two: Milan, Italy. 1–5 October 2016","2500"
"ESICM LIVES 2016: part one: Milan, Italy. 1-5 October 2016","2446"
"36th International Symposium on Intensive Care and Emergency Medicine: Brussels, Belgium. 15-18 March 2016","2440"
