"journal","Author"
"Archives of virology","Ge, Fei-Fei"
"Archives of virology","Yang, De-Quan"
"Archives of virology","Ju, Hou-Bin"
"Archives of virology","Wang, Jian"
"Archives of virology","Liu, Jian"
"Archives of virology","Liu, Pei-Hong"
"Archives of virology","Zhou, Jin-Ping"
"Journal of environmental management","Casals, Lluc Canals"
"Journal of environmental management","Amante García, B"
"Journal of environmental management","Canal, Camille"
